Model,ROC_AUC,Accuracy,Precision,Recall,F1,PR_AUC,Train_Time_s
Logistic Regression,0.7668620026769865,0.7013641610978326,0.1701289750910702,0.6960725075528701,0.2734285375212627,0.2524043338598644,18.25
Random Forest,0.7601254093308791,0.7293953140497211,0.17903474054529464,0.6559919436052366,0.2812972319385067,0.2474230567848956,70.75
XGBoost,0.7793466768707493,0.7653935580378193,0.20073362003541614,0.6392749244712991,0.30553015353515905,0.2748048142856338,21.58
LightGBM,0.7793704254803968,0.7432808155699722,0.19088416723783413,0.6731117824773414,0.2974235749566146,0.2781326925097385,13.28
CatBoost,0.7812167360493706,0.7275254865616312,0.18520100368373285,0.6986908358509567,0.2927920324105334,0.28037836647453757,22.93
