Feature,Importance
NONLIVINGAPARTMENTS_MODE,0.05159947152381165
FLOORSMAX_MEDI,0.05127925649106322
AMT_REQ_CREDIT_BUREAU_WEEK,0.049511827100770324
LIVINGAPARTMENTS_MEDI,0.042957215775088944
AMT_REQ_CREDIT_BUREAU_DAY,0.04242729885011221
NONLIVINGAPARTMENTS_MEDI,0.041065279905514035
FLOORSMIN_AVG,0.040801136066722275
CNT_CHILDREN,0.03956454541100272
LIVINGAPARTMENTS_AVG,0.037490163570897704
FLAG_DOCUMENT_15,0.03609367216675506
NAME_EDUCATION_TYPE_Academic degree,0.03406519524967063
REG_REGION_NOT_LIVE_REGION,0.03262568502508193
AMT_REQ_CREDIT_BUREAU_MON,0.03202745314895571
FLAG_DOCUMENT_14,0.032016504655037685
LANDAREA_MEDI,0.030895100923925233
YEARS_BUILD_AVG,0.023962257917164963
FLAG_DOCUMENT_6,0.023235995848223154
HOUSETYPE_MODE_block of flats,0.019447527400134765
bureau_sold_credit_count,0.016724449574415972
LIVE_REGION_NOT_WORK_REGION,0.014556465523247544
EMERGENCYSTATE_MODE_No,0.013664261782616335
EMERGENCYSTATE_MODE_Unknown,0.010837712053998656
REG_CITY_NOT_WORK_CITY,0.0
ENTRANCES_MEDI,0.0
REG_REGION_NOT_WORK_REGION,0.0
FLAG_MOBIL,0.0
FLAG_CONT_MOBILE,0.0
FLAG_EMAIL,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_17,0.0
FLOORSMIN_MEDI,0.0
FLAG_DOCUMENT_7,0.0
DAYS_EMPLOYED_ANOM,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_8,0.0
FLAG_OWN_REALTY_N,0.0
CODE_GENDER_XNA,0.0
FLAG_OWN_REALTY_Y,0.0
FONDKAPREMONT_MODE_Unknown,0.0
FONDKAPREMONT_MODE_reg oper account,0.0
FONDKAPREMONT_MODE_org spec account,0.0
FONDKAPREMONT_MODE_not specified,0.0
EMERGENCYSTATE_MODE_Yes,0.0
FONDKAPREMONT_MODE_reg oper spec account,0.0
HOUSETYPE_MODE_terraced house,0.0
HOUSETYPE_MODE_Unknown,0.0
HOUSETYPE_MODE_specific housing,0.0
